2.170908900255218210e+00,4.140181726880932445e+01
2.172206072548870992e+00,4.140082898430435421e+01
2.172972089509258797e+00,4.140024663706243047e+01
2.173324546710174054e+00,4.139998087281202999e+01
2.174081255295101212e+00,4.139941027801714313e+01
2.174290414258067017e+00,4.139925320230729966e+01
2.174736461722631908e+00,4.139891327101017993e+01
2.175029857906130015e+00,4.139868811595614062e+01
2.175421918027025114e+00,4.139839681363907431e+01
2.175792984315176870e+00,4.139812319442101085e+01
2.176098351600085135e+00,4.139788920492794233e+01
2.176559284742253020e+00,4.139754268947281446e+01
2.176568767596697818e+00,4.139753537119080562e+01
2.177005352853678133e+00,4.139719829967413744e+01
2.177055261505829176e+00,4.139716212223972036e+01
2.177124050213918860e+00,4.139711048783214409e+01
2.177395968113320812e+00,4.139690253047952950e+01
2.177644397184748115e+00,4.139671491466946662e+01
2.177811962265760126e+00,4.139659358317010884e+01
2.177461043905744020e+00,4.139632559705478343e+01
2.177053052037102976e+00,4.139603051244855436e+01
2.176684656929602113e+00,4.139574122232021836e+01
2.176030635356843046e+00,4.139525309007449749e+01
2.176042800681902811e+00,4.139524456602205760e+01
2.176069998345770973e+00,4.139521835079352741e+01
2.176083032601213052e+00,4.139520448250399909e+01
2.176096022192270052e+00,4.139519036168311317e+01
2.176109016081305914e+00,4.139517495281899073e+01
2.176121202766192031e+00,4.139515905176840960e+01
2.176132533152633997e+00,4.139514275726264003e+01
2.176142959966246959e+00,4.139512602392589713e+01
2.176152457466047796e+00,4.139510899569415159e+01
2.176161025880098965e+00,4.139509165455424267e+01
2.176168604836052012e+00,4.139507404511164168e+01
2.176175181577646001e+00,4.139505623032766124e+01
2.176180743576127785e+00,4.139503825515029689e+01
2.176185301997083155e+00,4.139502018271218020e+01
2.176196033451426093e+00,4.139498500419045968e+01
2.176202606081405033e+00,4.139494572450146848e+01
2.176201873666112174e+00,4.139492604687642796e+01
2.176200104619320896e+00,4.139490510077921925e+01
2.176197330522810169e+00,4.139488417450856872e+01
2.176193575640362088e+00,4.139486324121557459e+01
2.176188791106114184e+00,4.139484238161778507e+01
2.176183024423139045e+00,4.139482162307771063e+01
2.176176275023701034e+00,4.139480101062864037e+01
2.176168518873355939e+00,4.139478055310579663e+01
